,date,open,high,low,close,adjusted close,volume
0,2018-08-14 00:00:00,358.45,359.1995,347.1,347.64,347.64,6986427
1,2018-08-15 00:00:00,341.9059,344.49,332.14,338.69,338.69,9101258
2,2018-08-16 00:00:00,339.91,342.28,333.82,335.45,335.45,6064033
3,2018-08-17 00:00:00,323.5,326.77,303.53,305.5,305.5,18958612
4,2018-08-20 00:00:00,291.7035,308.5,288.2,308.44,308.44,17402335
5,2018-08-21 00:00:00,310.61,324.79,309.0,321.9,321.9,13172230
6,2018-08-22 00:00:00,320.87,323.88,314.67,321.64,321.64,5945955
7,2018-08-23 00:00:00,319.14,327.32,318.1,320.1,320.1,5147286
8,2018-08-24 00:00:00,320.7,323.85,319.4,322.82,322.82,3602564
9,2018-08-27 00:00:00,318.0,322.435,308.81,319.27,319.27,13079288
10,2018-08-28 00:00:00,318.41,318.88,311.19,311.86,311.86,7649091
11,2018-08-29 00:00:00,310.27,311.85,303.69,305.01,305.01,7447392
12,2018-08-30 00:00:00,302.26,304.6,297.72,303.15,303.15,7216706
13,2018-08-31 00:00:00,302.0,305.3082,298.6,301.66,301.66,5375104
14,2018-09-04 00:00:00,296.94,298.19,288.0,288.95,288.95,8350469
15,2018-09-05 00:00:00,285.05,286.78,277.18,280.74,280.74,7720821
16,2018-09-06 00:00:00,284.8,291.17,278.88,280.95,280.95,7480760
17,2018-09-07 00:00:00,260.1,268.35,252.2548,263.24,263.24,22491931
18,2018-09-10 00:00:00,273.26,286.03,271.0,285.5,285.5,14283528
19,2018-09-11 00:00:00,279.47,282.0,273.55,279.44,279.44,9169989
20,2018-09-12 00:00:00,281.44,292.5,278.6463,290.54,290.54,10015427
21,2018-09-13 00:00:00,288.02,295.0,285.18,289.46,289.46,6340336
22,2018-09-14 00:00:00,288.76,297.3256,286.52,295.2,295.2,6765612
23,2018-09-17 00:00:00,290.04,300.87,288.13,294.84,294.84,6887577
24,2018-09-18 00:00:00,296.69,302.64,275.5,284.96,284.96,16547522
25,2018-09-19 00:00:00,280.51,300.0,280.5,299.02,299.02,8294917
26,2018-09-20 00:00:00,303.56,305.98,293.33,298.33,298.33,7349422
27,2018-09-21 00:00:00,297.7,300.58,295.37,299.1,299.1,5050478
28,2018-09-24 00:00:00,298.48,302.9993,293.58,299.68,299.68,4842961
29,2018-09-25 00:00:00,300.0,304.6,296.5,300.99,300.99,4481729
30,2018-09-26 00:00:00,301.91,313.89,301.1093,309.58,309.58,7843216
31,2018-09-27 00:00:00,312.9,314.96,306.91,307.52,307.52,8509084
32,2018-09-28 00:00:00,270.26,278.0,260.56,264.77,264.77,33649700
33,2018-10-01 00:00:00,305.77,311.44,301.05,310.7,310.7,21777597
34,2018-10-02 00:00:00,313.95,316.84,299.15,301.02,301.02,11743511
35,2018-10-03 00:00:00,303.33,304.6,291.57,294.8,294.8,7994988
36,2018-10-04 00:00:00,293.95,294.0,277.67,281.83,281.83,9814212
37,2018-10-05 00:00:00,274.65,274.88,260.0,261.95,261.95,17944537
38,2018-10-08 00:00:00,264.52,267.7599,249.0,250.56,250.56,13472653
39,2018-10-09 00:00:00,255.25,266.77,253.3,262.8,262.8,12060574
40,2018-10-10 00:00:00,264.61,265.51,247.77,256.88,256.88,12815278
41,2018-10-11 00:00:00,257.53,262.25,249.03,252.23,252.23,8167738
42,2018-10-12 00:00:00,261.0,261.99,252.01,258.78,258.78,7201404
43,2018-10-15 00:00:00,259.06,263.28,254.5367,259.59,259.59,6199965
44,2018-10-16 00:00:00,265.7,277.375,262.24,276.59,276.59,9526401
45,2018-10-17 00:00:00,282.4,282.7,265.8032,271.78,271.78,8655542
46,2018-10-18 00:00:00,269.29,271.0,263.0,263.91,263.91,5421184
47,2018-10-19 00:00:00,267.39,269.66,253.5,260.0,260.0,9375549
48,2018-10-22 00:00:00,260.68,261.86,252.59,260.95,260.95,5600260
49,2018-10-23 00:00:00,263.87,297.93,262.1,294.14,294.14,19027753
50,2018-10-24 00:00:00,301.05,304.44,285.73,288.5,288.5,20058258
51,2018-10-25 00:00:00,317.22,321.0,301.01,314.86,314.86,20840724
52,2018-10-26 00:00:00,308.25,339.9,306.65,330.9,330.9,27425520
53,2018-10-29 00:00:00,337.47,347.16,326.5,334.85,334.85,14486027
54,2018-10-30 00:00:00,328.39,337.8999,322.26,329.9,329.9,9126704
55,2018-10-31 00:00:00,332.54,342.0,329.1,337.32,337.32,7624348
56,2018-11-01 00:00:00,338.26,347.84,334.725,344.28,344.28,8000132
57,2018-11-02 00:00:00,343.74,349.2,340.91,346.41,346.41,7807971
58,2018-11-05 00:00:00,340.5,343.955,330.14,341.4,341.4,7831048
59,2018-11-06 00:00:00,339.07,348.8,336.09,341.06,341.06,6762889
60,2018-11-07 00:00:00,343.34,351.18,340.8,348.16,348.16,7374522
61,2018-11-08 00:00:00,348.5,357.5755,348.44,351.4,351.4,7090674
62,2018-11-09 00:00:00,349.0,354.0,345.23,350.51,350.51,5098846
63,2018-11-12 00:00:00,348.37,349.78,330.34,331.28,331.28,6941523
64,2018-11-13 00:00:00,333.16,344.7,332.2,338.73,338.73,5448597
65,2018-11-14 00:00:00,342.7,347.11,337.15,344.0,344.0,5040287
66,2018-11-15 00:00:00,342.33,348.58,339.04,348.44,348.44,4625719
67,2018-11-16 00:00:00,345.19,355.7,345.1201,354.31,354.31,7206191
68,2018-11-19 00:00:00,356.34,366.75,352.88,353.47,353.47,9708871
69,2018-11-20 00:00:00,341.75,349.8,333.55,347.49,347.49,8004709
70,2018-11-21 00:00:00,352.0,353.1,337.3995,338.19,338.19,4686808
71,2018-11-23 00:00:00,334.345,337.5,325.55,325.83,325.83,4202642
72,2018-11-26 00:00:00,325.0,346.22,325.0,346.0,346.0,7992141
73,2018-11-27 00:00:00,340.05,346.96,335.5,343.92,343.92,6358300
74,2018-11-28 00:00:00,345.99,348.28,342.21,347.87,347.87,4127578
75,2018-11-29 00:00:00,347.0,347.5,339.55,341.17,341.17,3080724
76,2018-11-30 00:00:00,341.83,351.6,338.2648,350.48,350.48,5628895
77,2018-12-03 00:00:00,360.0,366.0,352.0,358.49,358.49,8306511
78,2018-12-04 00:00:00,356.05,368.68,352.0,359.7,359.7,8461945
79,2018-12-06 00:00:00,356.01,367.38,350.76,363.06,363.06,7842508
80,2018-12-07 00:00:00,369.0,379.49,357.65,357.965,357.965,11511177
81,2018-12-10 00:00:00,360.0,365.98,353.12,365.15,365.15,6613455
82,2018-12-11 00:00:00,369.91,372.1689,360.23,366.76,366.76,6308769
83,2018-12-12 00:00:00,369.42,371.91,365.16,366.6,366.6,5027048
84,2018-12-13 00:00:00,370.15,377.44,366.75,376.79,376.79,7365854
85,2018-12-14 00:00:00,375.0,377.87,364.33,365.71,365.71,6337555
86,2018-12-17 00:00:00,362.0,365.7,343.88,348.42,348.42,7674008
87,2018-12-18 00:00:00,350.54,351.55,333.69,337.03,337.03,7099999
88,2018-12-19 00:00:00,337.6,347.01,329.74,332.97,332.97,8274181
89,2018-12-20 00:00:00,327.0535,330.29,311.869,315.38,315.38,9071858
90,2018-12-21 00:00:00,317.4,323.47,312.44,319.77,319.77,8016801
91,2018-12-24 00:00:00,313.5,314.5,295.195,295.39,295.39,5559913
92,2018-12-26 00:00:00,300.0,326.97,294.09,326.09,326.09,8163138
93,2018-12-27 00:00:00,319.84,322.1717,301.5,316.13,316.13,8575133
94,2018-12-28 00:00:00,323.1,336.24,318.41,333.87,333.87,9938992
95,2018-12-31 00:00:00,337.79,339.21,325.26,332.8,332.8,6302338
96,2019-01-02 00:00:00,306.1,315.13,298.8,310.12,310.12,11658648
97,2019-01-03 00:00:00,307.0,309.4,297.38,300.36,300.36,6965184
98,2019-01-04 00:00:00,306.0,318.0,302.73,317.69,317.69,7394116
99,2019-01-07 00:00:00,321.72,336.74,317.7508,334.96,334.96,7541904
