,Close,200d,50d,20d,5d,Long Term,Medium Term,Short Term
SPY,238.31,225.60545,236.6964,238.69,238.256,buy,buy,sell
FB,148.06,130.90775,144.2314,149.367,148.108,buy,buy,sell
GOOGL,954.65,830.00305,886.2708,937.4325,954.23,buy,buy,buy
AMZN,959.84,821.728,902.3728,941.124,957.426,buy,buy,buy
V,92.48,84.15595,90.4652,92.144,92.466,buy,buy,buy
NVDA,136.0,90.5728,107.7584,114.6515,133.582,buy,buy,buy
CTRP,56.15,46.0494,50.5374,53.035,55.62,buy,buy,buy
TRIP,44.08,52.19885,43.6492,45.43,44.99,sell,buy,sell
CMCM,10.55,10.9414,11.034,10.8695,10.784,hold,sell,sell
RWLK,1.2,3.3653,1.7354,1.3895,1.23,sell,sell,sell
XLF,23.35,22.88385,23.7102,23.6655,23.422,buy,sell,sell
